epoch,1_gd_loss,sgd_loss,adam_loss,gd_time,sgd_time,adam_time,2_gd_loss,sgd_loss,adam_loss,gd_time,sgd_time,adam_time,3_gd_loss,sgd_loss,adam_loss,gd_time,sgd_time,adam_time,4_gd_loss,sgd_loss,adam_loss,gd_time,sgd_time,adam_time,5_gd_loss,sgd_loss,adam_loss,gd_time,sgd_time,adam_time
27,0.000493,0.002631,0.000000,1845,4243,6146,0.000480,0.002566,0.000000,694,4444,6129,0.000479,0.002596,0.000000,680,2657,6548,2.000000,2.000000,2.000000,796,3198,5917,2.000000,2.000000,2.000000,744,2835,6104
28,0.000475,0.002531,0.000000,1894,4337,6359,0.000463,0.002470,0.000000,709,4585,6317,0.000461,0.002498,0.000000,706,2757,6783,2.000000,2.000000,2.000000,812,3323,6138,2.000000,2.000000,2.000000,776,2941,6340
29,0.000458,0.002439,0.000000,1941,4447,6563,0.000447,0.002381,0.000000,740,4711,6554,0.000445,0.002408,0.000000,722,2857,7019,2.000000,2.000000,2.000000,843,3433,6343,2.000000,2.000000,2.000000,808,3063,6578
30,0.000442,0.002353,0.000000,2005,4558,6768,0.000432,0.002298,0.000000,756,4839,6808,0.000430,0.002324,0.000000,754,2957,7255,2.000000,2.000000,2.000000,875,3538,6564,2.000000,2.000000,2.000000,823,3163,6816
31,0.000428,0.002273,0.000000,2056,4673,6989,0.000418,0.002221,0.000000,787,4980,7079,0.000416,0.002246,0.000000,784,3062,7529,2.000000,2.000000,2.000000,910,3661,6804,2.000000,2.000000,2.000000,865,3280,7036
32,0.000414,0.002198,0.000000,2116,4779,7194,0.000404,0.002149,0.000000,803,5155,7315,0.000403,0.002172,0.000000,811,3154,7833,2.000000,2.000000,2.000000,936,3788,7024,2.000000,2.000000,2.000000,882,3379,7256
33,0.000401,0.002128,0.000000,2148,4889,7399,0.000392,0.002081,0.000000,834,5345,7533,0.000391,0.002104,0.000000,839,3264,8290,2.000000,2.000000,2.000000,971,3883,7245,2.000000,2.000000,2.000000,920,3504,7504
34,0.000389,0.002062,0.000000,2196,4984,7621,0.000380,0.002018,0.000000,856,5520,7750,0.000379,0.002039,0.000000,861,3359,9077,2.000000,2.000000,2.000000,985,3978,7484,2.000000,2.000000,2.000000,946,3615,7821
35,0.000378,0.002000,0.000000,2228,5078,7824,0.000369,0.001958,0.000000,882,5663,8017,0.000368,0.001978,0.000000,880,3455,9585,2.000000,2.000000,2.000000,1016,4072,7716,2.000000,2.000000,2.000000,973,3733,8087
36,0.000367,0.001942,0.000000,2291,5174,8049,0.000359,0.001901,0.000000,897,5789,8296,0.000358,0.001921,0.000000,909,3541,10108,2.000000,2.000000,2.000000,1048,4175,7946,2.000000,2.000000,2.000000,990,3857,8330
